russian_title,english_title,rating,vote_count,genre,director,is_film,start_year,end_year,duration_minutes,country,actors
Первые люди на Луне,First Men in the Moon,6.3,353.0,фантастика,Нэйтан Юран,True,1964.0,,103.0,Великобритания,Эдвард Джадд|Марта Хайер
Оркестранты,The Boys in the Band,6.9,353.0,драма,Уильям Фридкин,True,1970.0,,120.0,США,Кеннет Нельсон|Фредерик Комбс
Человек по имени Конь,A Man Called Horse,7.1,353.0,драма,Эллиот Силверстайн,True,1969.0,,114.0,США,Ричард Харрис|Джудит Андерсон
Добро пожаловать в Музпорт,Welcome to Mooseport,5.5,353.0,мелодрама,Дональд Питри,True,2004.0,,110.0,Германия,Джин Хэкмен|Рэй Романо
Посланник смерти,Messenger of Death,5.8,353.0,боевик,Дж. Ли Томпсон,True,1988.0,,91.0,США,Чарльз Бронсон|Триш Ван Девере
Маска смерти,Mask of Death,5.5,353.0,боевик,Дэвид Митчелл,True,1996.0,,89.0,Канада,Лоренцо Ламас|Рэй Дон Чонг
Под прикрытием,Renegades,6.1,353.0,боевик,Джек Шолдер,True,1989.0,,106.0,США,Кифер Сазерленд|Лу Даймонд Филлипс
Финальный террор,The Final Terror,5.6,353.0,ужасы,Эндрю Дэвис,True,1983.0,,84.0,США,Джон Фридрих|Адриан Змед
Наказание,Danjoe,6.5,352.0,триллер,Чхве Хён-джун,False,,,,Корея Южная,Ли Джу-ён|Чи Сын-хён
Жизнь и Океаны,Life & The Oceans,7.9,352.0,документальный,Мэтт Ревелло,False,,,,Великобритания,Стив Тейлор
Иное,Else,5.8,352.0,ужасы,Тибо Эмин,True,2024.0,,103.0,Бельгия,Матьё Сампёр|Эдит Пруст
Крюк,Hook,,,ужасы,Андреа М. Катинелла,True,2025.0,,79.0,Великобритания,Тадэ Адебахо|Шарлотта Джексон Коулмэн
Секретный ингредиент,Secret Ingredient,,,драма,Чо Ён-гван,False,,,,Корея Южная,Джулия Барретто|Ли Сан-хон
Банк Дэйва 2,Bank of Dave 2: The Loan Ranger,6.1,352.0,драма,Крис Фоггин,True,2025.0,,104.0,Великобритания,Рори Киннер|Элисон Хэммонд
Безумные съёмки,Making Of,5.8,352.0,драма,Седрик Кан,True,2023.0,,119.0,Франция,Дени Подалидес|Джонатан Коэн
Сделай это сам!!,Do It Yourself!!,7.1,352.0,аниме,Кадзухиро Ёнэда,False,2022.0,2022.0,,Япония,Кана Итиносэ|Кономи Инагаки
Семейное проклятье,Klatwa,5.8,352.0,комедия,Томаш Конецки,True,2023.0,,105.0,Польша,Ванесса Александр|Данута Стенка
Мир в моей голове,Out of My Mind,7.3,352.0,драма,Эмбер Сили,True,2024.0,,102.0,США,Phoebe-Rae Taylor|Люк Кирби
Новенький,The New Boy,5.6,352.0,драма,Уорвик Торнтон,True,2023.0,,116.0,Австралия,Асван Рид|Кейт Бланшетт
